open,high,low,close,volume,adjusted+AF8-close,date,ticker
17.059999,17.059999,16.84,16.92,70500,16.241835,2016+AC0-04+AC0-28,83012.HK
16.799999,16.799999,16.68,16.68,188500,16.011454,2016+AC0-04+AC0-29,83012.HK
16.52,16.540001,16.459999,16.42,302500,15.761874,2016+AC0-05+AC0-03,83012.HK
16.34,16.34,16.280001,16.34,70000,15.685081,2016+AC0-05+AC0-04,83012.HK
16.299999,16.299999,16.280001,16.299999,155000,15.646684,2016+AC0-05+AC0-05,83012.HK
16.32,16.32,16.02,16.059999,58000,15.416303,2016+AC0-05+AC0-06,83012.HK
16.139999,16.18,16.139999,16.16,11500,15.512296,2016+AC0-05+AC0-09,83012.HK
16.24,16.24,16.24,16.24,2500,15.589089,2016+AC0-05+AC0-10,83012.HK
13.52,13.52,13.52,13.52,5000,12.978109,2016+AC0-05+AC0-11,83012.HK
13.52,13.52,13.44,13.44,35000,12.901315,2016+AC0-05+AC0-12,83012.HK
13.42,13.42,13.42,13.32,5000,12.786124,2016+AC0-05+AC0-13,83012.HK
13.34,13.34,13.34,13.34,90000,12.805323,2016+AC0-05+AC0-16,83012.HK
13.38,13.42,13.38,13.48,35000,12.939712,2016+AC0-05+AC0-17,83012.HK
13.38,13.38,13.38,13.36,5000,12.824521,2016+AC0-05+AC0-18,83012.HK
13.36,13.36,13.36,13.36,0,12.824521,2016+AC0-05+AC0-19,83012.HK
13.46,13.46,13.46,13.48,25000,12.939712,2016+AC0-05+AC0-20,83012.HK
13.42,13.42,13.42,13.42,30000,12.882116,2016+AC0-05+AC0-23,83012.HK
13.46,13.46,13.46,13.46,0,12.920513,2016+AC0-05+AC0-24,83012.HK
13.68,13.7,13.68,13.74,35000,13.189291,2016+AC0-05+AC0-25,83012.HK
13.74,13.74,13.74,13.74,5000,13.189291,2016+AC0-05+AC0-26,83012.HK
13.74,13.74,13.74,13.82,35000,13.266085,2016+AC0-05+AC0-27,83012.HK
13.88,13.94,13.84,13.94,65000,13.381274,2016+AC0-05+AC0-30,83012.HK
14.06,14.06,14.06,14.06,0,13.496466,2016+AC0-05+AC0-31,83012.HK
14.08,14.08,14.08,14.04,60000,13.477266,2016+AC0-06+AC0-01,83012.HK
14.08,14.08,14.08,14.08,0,13.515663,2016+AC0-06+AC0-02,83012.HK
NA,NA,NA,NA,NA,NA,2016+AC0-06+AC0-03,83012.HK
14.16,14.2,14.16,14.22,60000,13.650052,2016+AC0-06+AC0-06,83012.HK
14.36,14.36,14.36,14.36,5000,13.784441,2016+AC0-06+AC0-07,83012.HK
14.3,14.3,14.3,14.34,5000,13.765243,2016+AC0-06+AC0-08,83012.HK
14.34,14.34,14.34,14.28,5000,13.707647,2016+AC0-06+AC0-10,83012.HK
