open,high,low,close,volume,adjusted+AF8-close,date,ticker
15.14,15.19,15.14,15.19,38600,12.547655,2011+AC0-02+AC0-17,ASEA
15.31,15.31,15.21,15.27,27100,12.613739,2011+AC0-02+AC0-18,ASEA
15.13,15.15,14.89,14.92,12300,12.324623,2011+AC0-02+AC0-22,ASEA
14.97,14.97,14.78,14.86,15100,12.27506,2011+AC0-02+AC0-23,ASEA
15.04,15.04,14.8,14.86,6400,12.27506,2011+AC0-02+AC0-24,ASEA
15.22,15.22,15.02,15.06,14100,12.44027,2011+AC0-02+AC0-25,ASEA
15.28,15.28,15.04,15.04,14800,12.42375,2011+AC0-02+AC0-28,ASEA
15.39,15.39,15.03,15.03,5500,12.415487,2011+AC0-03+AC0-01,ASEA
15.2,15.24,15.12,15.21,4900,12.564177,2011+AC0-03+AC0-02,ASEA
15.22,15.35,15.21,15.35,49700,12.679823,2011+AC0-03+AC0-03,ASEA
15.28,15.33,15.16,15.29,5800,12.63026,2011+AC0-03+AC0-04,ASEA
15.53,15.58,15.23,15.25,4700,12.597219,2011+AC0-03+AC0-07,ASEA
15.48,15.6,15.48,15.56,1000,12.853295,2011+AC0-03+AC0-08,ASEA
15.63,15.63,15.54,15.54,600,12.836771,2011+AC0-03+AC0-09,ASEA
15.45,15.54,15.26,15.3,4400,12.638522,2011+AC0-03+AC0-10,ASEA
15.26,15.33,15.25,15.3,11000,12.638522,2011+AC0-03+AC0-11,ASEA
15.43,15.43,15.22,15.31,2700,12.646783,2011+AC0-03+AC0-14,ASEA
14.82,14.95,14.7,14.95,14100,12.349404,2011+AC0-03+AC0-15,ASEA
14.85,14.85,14.7,14.75,3000,12.184195,2011+AC0-03+AC0-16,ASEA
14.92,14.98,14.88,14.88,2400,12.291582,2011+AC0-03+AC0-17,ASEA
15.04,15.04,14.98,14.98,1700,12.374185,2011+AC0-03+AC0-18,ASEA
15.34,15.34,15.33,15.33,700,12.663302,2011+AC0-03+AC0-21,ASEA
15.36,15.36,15.36,15.36,300,12.688083,2011+AC0-03+AC0-22,ASEA
15.44,15.52,15.39,15.52,1900,12.820251,2011+AC0-03+AC0-23,ASEA
15.69,15.72,15.51,15.71,4300,12.977201,2011+AC0-03+AC0-24,ASEA
15.67,15.67,15.62,15.66,800,12.935898,2011+AC0-03+AC0-25,ASEA
15.61,15.61,15.58,15.59,5400,12.878075,2011+AC0-03+AC0-28,ASEA
15.56,15.66,15.56,15.66,1300,12.935898,2011+AC0-03+AC0-29,ASEA
15.82,15.89,15.82,15.82,11900,13.068067,2011+AC0-03+AC0-30,ASEA
15.8,15.97,15.8,15.97,6200,13.191974,2011+AC0-03+AC0-31,ASEA
16.129999,16.16,16.08,16.08,1500,13.282838,2011+AC0-04+AC0-01,ASEA
16.120001,16.16,16.1,16.16,5300,13.348921,2011+AC0-04+AC0-04,ASEA
16.17,16.18,16.129999,16.18,3400,13.365442,2011+AC0-04+AC0-05,ASEA
16.299999,16.299999,16.219999,16.25,9100,13.423266,2011+AC0-04+AC0-06,ASEA
16.34,16.34,16.26,16.27,7400,13.439786,2011+AC0-04+AC0-07,ASEA
16.389999,16.389999,16.209999,16.25,9400,13.423266,2011+AC0-04+AC0-08,ASEA
16.18,16.200001,16.139999,16.139999,4900,13.332399,2011+AC0-04+AC0-11,ASEA
16.049999,16.049999,15.91,16.02,6000,13.233274,2011+AC0-04+AC0-12,ASEA
16.15,16.18,16.15,16.16,1300,13.348921,2011+AC0-04+AC0-13,ASEA
16.110001,16.15,16.09,16.15,3300,13.34066,2011+AC0-04+AC0-14,ASEA
16.219999,16.309999,16.18,16.290001,2900,13.456308,2011+AC0-04+AC0-15,ASEA
16.059999,16.059999,15.9,15.9,4000,13.13415,2011+AC0-04+AC0-18,ASEA
