open,high,low,close,volume,adjusted+AF8-close,date,ticker
24.77,24.809999,24.74,24.799999,55300,18.907494,2013+AC0-11+AC0-06,ASHR
24.67,26.370001,24.549999,24.549999,35100,18.716894,2013+AC0-11+AC0-07,ASHR
24.41,24.48,24.360001,24.450001,99000,18.640654,2013+AC0-11+AC0-08,ASHR
24.5,24.530001,24.469999,24.5,104100,18.678772,2013+AC0-11+AC0-11,ASHR
24.620001,24.620001,24.42,24.440001,49800,18.633032,2013+AC0-11+AC0-12,ASHR
24.030001,24.129999,24,24.110001,45400,18.381439,2013+AC0-11+AC0-13,ASHR
24.18,24.33,24.129999,24.309999,36600,18.533918,2013+AC0-11+AC0-14,ASHR
25.02,25.540001,24.969999,25.370001,472100,19.342062,2013+AC0-11+AC0-15,ASHR
26.049999,26.200001,25.91,26,1170600,19.822372,2013+AC0-11+AC0-18,ASHR
25.780001,25.82,25.610001,25.610001,656400,19.525036,2013+AC0-11+AC0-19,ASHR
25.59,25.59,25.4,25.43,555600,19.387806,2013+AC0-11+AC0-20,ASHR
25.34,25.559999,25.299999,25.559999,181500,19.486917,2013+AC0-11+AC0-21,ASHR
25.25,25.42,25.200001,25.41,313700,19.372559,2013+AC0-11+AC0-22,ASHR
25.120001,25.120001,24.9,24.91,179400,18.991356,2013+AC0-11+AC0-25,ASHR
25.129999,25.17,25.040001,25.1,230200,19.136215,2013+AC0-11+AC0-26,ASHR
25.379999,25.6,25.35,25.59,385400,19.509789,2013+AC0-11+AC0-27,ASHR
25.799999,25.91,25.719999,25.85,363700,19.708014,2013+AC0-11+AC0-29,ASHR
25.57,25.57,25.129999,25.15,661800,19.174334,2013+AC0-12+AC0-02,ASHR
25.5,25.549999,25.280001,25.459999,219300,19.410675,2013+AC0-12+AC0-03,ASHR
25.91,26.08,25.860001,26.049999,483500,19.860491,2013+AC0-12+AC0-04,ASHR
25.98,25.98,25.719999,25.74,465600,19.624149,2013+AC0-12+AC0-05,ASHR
25.879999,25.9,25.780001,25.790001,465200,19.662268,2013+AC0-12+AC0-06,ASHR
25.860001,25.860001,25.67,25.67,582400,19.570782,2013+AC0-12+AC0-09,ASHR
25.719999,25.83,25.66,25.799999,162800,19.669893,2013+AC0-12+AC0-10,ASHR
25.42,25.42,25.139999,25.23,404500,19.235325,2013+AC0-12+AC0-11,ASHR
25.17,25.26,25.1,25.190001,179000,19.20483,2013+AC0-12+AC0-12,ASHR
25.27,25.33,25.18,25.290001,941200,19.281071,2013+AC0-12+AC0-13,ASHR
25.120001,25.16,24.85,24.91,250100,18.991356,2013+AC0-12+AC0-16,ASHR
24.85,24.860001,24.57,24.66,225800,18.800758,2013+AC0-12+AC0-17,ASHR
24.879999,25.049999,24.549999,24.99,264400,19.052349,2013+AC0-12+AC0-18,ASHR
24.540001,24.59,24.309999,24.530001,350100,18.701647,2013+AC0-12+AC0-19,ASHR
24.129999,24.17,23.98,24.15,850000,18.411934,2013+AC0-12+AC0-20,ASHR
24.17,24.200001,24.01,24.1,213100,18.373816,2013+AC0-12+AC0-23,ASHR
24.139999,24.24,24.049999,24.18,162000,18.434809,2013+AC0-12+AC0-24,ASHR
23.76,23.959999,23.76,23.92,197900,18.236584,2013+AC0-12+AC0-26,ASHR
23.889999,24.370001,23.889999,24.370001,117900,18.579662,2013+AC0-12+AC0-27,ASHR
24.290001,24.299999,24.200001,24.200001,235700,18.450054,2013+AC0-12+AC0-30,ASHR
24.48,24.67,24.370001,24.66,188800,18.800758,2013+AC0-12+AC0-31,ASHR
24.360001,24.4,24.190001,24.200001,147400,18.450054,2014+AC0-01+AC0-02,ASHR
