open,high,low,close,volume,adjusted+AF8-close,date,ticker
25.42,25.42,24.299999,25.200001,119000,23.232691,2014+AC0-05+AC0-21,ASHS
25.200001,25.200001,25.200001,25.200001,0,23.232691,2014+AC0-05+AC0-22,ASHS
25.43,25.450001,25.41,25.41,8800,23.426296,2014+AC0-05+AC0-23,ASHS
25.809999,25.809999,25.49,25.549999,8200,23.555365,2014+AC0-05+AC0-27,ASHS
25.85,25.92,25.799999,25.799999,11500,23.785849,2014+AC0-05+AC0-28,ASHS
25.620001,25.620001,25.559999,25.59,1700,23.592243,2014+AC0-05+AC0-29,ASHS
25.709999,25.73,25.58,25.629999,4900,23.62912,2014+AC0-05+AC0-30,ASHS
25.73,25.799999,25.68,25.73,13000,23.721315,2014+AC0-06+AC0-02,ASHS
25.52,25.67,25.52,25.67,13200,23.665998,2014+AC0-06+AC0-03,ASHS
25.26,25.35,25.26,25.34,12500,23.361761,2014+AC0-06+AC0-04,ASHS
25.690001,25.709999,25.67,25.67,2900,23.665998,2014+AC0-06+AC0-05,ASHS
25.58,25.6,25.58,25.6,900,23.601463,2014+AC0-06+AC0-06,ASHS
25.58,25.58,25.379999,25.379999,69600,23.398638,2014+AC0-06+AC0-09,ASHS
25.780001,25.809999,25.719999,25.75,5100,23.739752,2014+AC0-06+AC0-10,ASHS
25.74,25.74,25.709999,25.719999,1900,23.712093,2014+AC0-06+AC0-11,ASHS
25.85,25.85,25.709999,25.76,8400,23.748974,2014+AC0-06+AC0-12,ASHS
26.120001,26.129999,26.07,26.08,6900,24.043991,2014+AC0-06+AC0-13,ASHS
26.200001,26.209999,25.98,26.1,7700,24.062429,2014+AC0-06+AC0-16,ASHS
25.879999,25.91,25.85,25.870001,5200,23.850386,2014+AC0-06+AC0-17,ASHS
25.67,25.709999,25.67,25.709999,800,23.702875,2014+AC0-06+AC0-18,ASHS
25.01,25.030001,24.959999,24.969999,8800,23.020645,2014+AC0-06+AC0-19,ASHS
25.16,25.17,25.1,25.1,4800,23.140497,2014+AC0-06+AC0-20,ASHS
25.719999,25.719999,25.34,25.35,6300,23.370981,2014+AC0-06+AC0-23,ASHS
25.639999,25.639999,25.469999,25.469999,5700,23.481611,2014+AC0-06+AC0-24,ASHS
25.4,25.540001,25.25,25.4,9400,23.417076,2014+AC0-06+AC0-25,ASHS
25.75,25.75,25.59,25.709999,4700,23.702875,2014+AC0-06+AC0-26,ASHS
25.950001,26.049999,25.84,25.940001,16000,23.914921,2014+AC0-06+AC0-27,ASHS
26.24,26.27,26.08,26.18,19900,24.136185,2014+AC0-06+AC0-30,ASHS
26.5,26.5,26.299999,26.440001,22200,24.375887,2014+AC0-07+AC0-01,ASHS
26.65,26.700001,26.65,26.66,2600,24.578711,2014+AC0-07+AC0-02,ASHS
26.9,27.02,26.9,26.98,1000,24.873728,2014+AC0-07+AC0-03,ASHS
26.879999,26.940001,26.879999,26.9,1500,24.799974,2014+AC0-07+AC0-07,ASHS
27.049999,27.049999,26.969999,27.01,2000,24.901386,2014+AC0-07+AC0-08,ASHS
26.700001,26.780001,26.65,26.74,9700,24.652466,2014+AC0-07+AC0-09,ASHS
26.379999,26.540001,26.379999,26.540001,900,24.468079,2014+AC0-07+AC0-10,ASHS
27.040001,27.23,26.99,27.219999,21600,25.094994,2014+AC0-07+AC0-11,ASHS
27.67,27.67,27.459999,27.549999,7100,25.399231,2014+AC0-07+AC0-14,ASHS
27.469999,27.48,27.459999,27.48,5800,25.334694,2014+AC0-07+AC0-15,ASHS
27.370001,27.379999,27.370001,27.370001,2500,25.233284,2014+AC0-07+AC0-16,ASHS
27.16,27.219999,27.120001,27.120001,4800,25.0028,2014+AC0-07+AC0-17,ASHS
27.48,27.48,27.33,27.360001,2600,25.224064,2014+AC0-07+AC0-18,ASHS
27.120001,27.120001,27.120001,27.120001,200,25.0028,2014+AC0-07+AC0-21,ASHS
27.67,27.82,27.67,27.809999,7100,25.638933,2014+AC0-07+AC0-22,ASHS
27.559999,27.66,27.559999,27.66,7400,25.500645,2014+AC0-07+AC0-23,ASHS
27.620001,27.75,27.620001,27.75,13300,25.583618,2014+AC0-07+AC0-24,ASHS
28.25,28.25,28.040001,28.049999,2400,25.860197,2014+AC0-07+AC0-25,ASHS
28.379999,28.629999,28.34,28.620001,5000,26.385698,2014+AC0-07+AC0-28,ASHS
29.07,29.07,28.780001,28.83,5600,26.579304,2014+AC0-07+AC0-29,ASHS
28.66,28.66,28.57,28.629999,2200,26.394917,2014+AC0-07+AC0-30,ASHS
29.02,29.02,28.82,28.92,11700,26.662279,2014+AC0-07+AC0-31,ASHS
28.870001,28.870001,28.67,28.75,900,26.50555,2014+AC0-08+AC0-01,ASHS
28.92,29.290001,28.92,29.290001,5700,27.003393,2014+AC0-08+AC0-04,ASHS
29.25,29.25,29.17,29.219999,4900,26.938856,2014+AC0-08+AC0-05,ASHS
29.360001,29.4,29.360001,29.379999,1900,27.086365,2014+AC0-08+AC0-06,ASHS
29.16,29.18,29.07,29.07,2100,26.800568,2014+AC0-08+AC0-07,ASHS
29.559999,29.700001,29.559999,29.700001,2100,27.381386,2014+AC0-08+AC0-08,ASHS
30.129999,30.129999,30.01,30.059999,4300,27.71328,2014+AC0-08+AC0-11,ASHS
30.24,30.360001,30.209999,30.360001,4600,27.989861,2014+AC0-08+AC0-12,ASHS
30.299999,30.34,30.299999,30.32,1200,27.952984,2014+AC0-08+AC0-13,ASHS
30.01,30.030001,29.969999,29.969999,4000,27.630306,2014+AC0-08+AC0-14,ASHS
30.370001,30.370001,30.18,30.219999,7100,27.860788,2014+AC0-08+AC0-15,ASHS
30.969999,30.969999,30.709999,30.74,10200,28.340195,2014+AC0-08+AC0-18,ASHS
30.77,30.85,30.77,30.780001,10000,28.377071,2014+AC0-08+AC0-19,ASHS
30.73,30.84,30.66,30.68,7800,28.28488,2014+AC0-08+AC0-20,ASHS
30.690001,30.73,30.68,30.690001,4600,28.294098,2014+AC0-08+AC0-21,ASHS
30.84,30.84,30.780001,30.780001,2600,28.377071,2014+AC0-08+AC0-22,ASHS
30.82,30.82,30.59,30.610001,12900,28.220343,2014+AC0-08+AC0-25,ASHS
30.17,30.18,30.09,30.09,6900,27.740938,2014+AC0-08+AC0-26,ASHS
30.15,30.18,30.07,30.139999,8900,27.787033,2014+AC0-08+AC0-27,ASHS
29.74,29.809999,29.700001,29.719999,13800,27.399822,2014+AC0-08+AC0-28,ASHS
30.15,30.15,30.1,30.110001,2000,27.759377,2014+AC0-08+AC0-29,ASHS
31.450001,31.450001,31.200001,31.299999,7500,28.856476,2014+AC0-09+AC0-02,ASHS
31.74,31.74,31.65,31.700001,7400,29.22525,2014+AC0-09+AC0-03,ASHS
32,32,31.9,31.9,13100,29.409636,2014+AC0-09+AC0-04,ASHS
32.009998,32.110001,31.860001,32.110001,7100,29.603243,2014+AC0-09+AC0-05,ASHS
32.02,32.200001,32.02,32.060001,13900,29.557146,2014+AC0-09+AC0-08,ASHS
32.200001,32.299999,32.200001,32.25,10200,29.732311,2014+AC0-09+AC0-09,ASHS
32.209999,32.299999,32.189999,32.299999,6300,29.778408,2014+AC0-09+AC0-10,ASHS
32.189999,32.259998,32.18,32.259998,3200,29.741528,2014+AC0-09+AC0-11,ASHS
32.599998,32.599998,32.560001,32.57,2000,30.02733,2014+AC0-09+AC0-12,ASHS
32.75,32.810001,32.709999,32.73,7800,30.174837,2014+AC0-09+AC0-15,ASHS
31.77,32.110001,31.43,32.09,30700,29.584803,2014+AC0-09+AC0-16,ASHS
31.98,32,31.870001,32,700,29.501829,2014+AC0-09+AC0-17,ASHS
32.34,32.389999,32.310001,32.389999,7500,29.861383,2014+AC0-09+AC0-18,ASHS
32.73,32.73,32.419998,32.48,21800,29.944355,2014+AC0-09+AC0-19,ASHS
