open,high,low,close,volume,adjusted+AF8-close,date,ticker
16.370001,16.4,16.15,16.34,52000,14.423364,2009+AC0-12+AC0-01,CHIQ
16.450001,18,16.360001,16.379999,130500,14.458671,2009+AC0-12+AC0-02,CHIQ
16.549999,16.549999,16.309999,16.35,33400,14.432191,2009+AC0-12+AC0-03,CHIQ
16.700001,16.75,16.4,16.57,38900,14.626384,2009+AC0-12+AC0-04,CHIQ
16.629999,18.48,16.559999,16.58,155500,14.635211,2009+AC0-12+AC0-07,CHIQ
16.52,16.6,16.4,16.52,19300,14.582252,2009+AC0-12+AC0-08,CHIQ
16.4,16.450001,16.34,16.440001,32000,14.511634,2009+AC0-12+AC0-09,CHIQ
16.440001,16.440001,16.200001,16.280001,143800,14.370402,2009+AC0-12+AC0-10,CHIQ
16.4,16.4,16.200001,16.25,56900,14.343921,2009+AC0-12+AC0-11,CHIQ
16.5,16.52,16.34,16.49,54600,14.555768,2009+AC0-12+AC0-14,CHIQ
16.610001,16.610001,16.5,16.57,33600,14.626384,2009+AC0-12+AC0-15,CHIQ
16.5,16.5,16.41,16.450001,250000,14.520462,2009+AC0-12+AC0-16,CHIQ
16.23,16.23,15.93,15.98,25800,14.10559,2009+AC0-12+AC0-17,CHIQ
15.77,15.77,15.6,15.74,44800,13.893741,2009+AC0-12+AC0-18,CHIQ
15.85,15.88,15.77,15.77,35000,13.920223,2009+AC0-12+AC0-21,CHIQ
16.08,16.08,15.86,15.9,20800,14.034973,2009+AC0-12+AC0-22,CHIQ
16.1,16.120001,15.98,16.1,69300,14.211514,2009+AC0-12+AC0-23,CHIQ
16.16,16.33,16.16,16.280001,13200,14.370402,2009+AC0-12+AC0-24,CHIQ
16.360001,16.459999,16.34,16.35,36600,14.432191,2009+AC0-12+AC0-28,CHIQ
16.540001,16.540001,16.35,16.379999,101300,14.458671,2009+AC0-12+AC0-29,CHIQ
16.41,16.469999,16.389999,16.41,55400,14.485154,2009+AC0-12+AC0-30,CHIQ
16.719999,16.719999,16.5,16.5,144500,14.564594,2009+AC0-12+AC0-31,CHIQ
17,17.1,16.889999,17.02,198700,15.023602,2010+AC0-01+AC0-04,CHIQ
17.52,17.52,17.290001,17.440001,110100,15.394338,2010+AC0-01+AC0-05,CHIQ
17.35,17.370001,17.23,17.35,308800,15.314895,2010+AC0-01+AC0-06,CHIQ
17.02,17.02,16.84,16.98,38500,14.988293,2010+AC0-01+AC0-07,CHIQ
17.110001,17.110001,16.9,17.059999,42500,15.058908,2010+AC0-01+AC0-08,CHIQ
17.18,17.18,16.9,17,34500,15.005948,2010+AC0-01+AC0-11,CHIQ
