"open","high","low","close","volume","adjusted_close","date","ticker"
51.849998,52.150002,51.84,51.91,66400,33.58659,2007-07-13,"DEM"
51.650002,51.880001,51.5,51.57,89300,33.366608,2007-07-16,"DEM"
51.549999,51.75,51.349998,51.650002,53500,33.41835,2007-07-17,"DEM"
51.299999,51.41,50.830002,51.369999,65200,33.237183,2007-07-18,"DEM"
51.549999,51.970001,51.349998,51.599998,154900,33.386002,2007-07-19,"DEM"
51.700001,51.77,51.150002,51.279999,338200,33.178963,2007-07-20,"DEM"
51.950001,52.439999,51.950001,52.310001,187700,33.845387,2007-07-23,"DEM"
51.18,52.349998,50.959999,51,89000,32.997795,2007-07-24,"DEM"
51.799999,51.939999,51.23,51.77,101500,33.495991,2007-07-25,"DEM"
50.900002,50.900002,48.540001,49.650002,85300,32.124329,2007-07-26,"DEM"
49.400002,49.75,48.650002,48.849998,104100,31.606712,2007-07-27,"DEM"
49,49.889999,48.849998,49.810001,76200,32.227844,2007-07-30,"DEM"
50,50.049999,48.849998,49.16,32800,31.807285,2007-07-31,"DEM"
48.099998,48.48,46,48.16,68100,31.160267,2007-08-01,"DEM"
48.200001,49.880001,48.029999,48.439999,36700,31.341427,2007-08-02,"DEM"
48.400002,48.549999,46.700001,46.84,54500,30.306208,2007-08-03,"DEM"
47.099998,48.110001,46.27,47.830002,40700,30.946758,2007-08-06,"DEM"
47.400002,48.110001,46.860001,47.799999,29200,30.927343,2007-08-07,"DEM"
48.5,49.43,47.93,49.43,29600,31.981979,2007-08-08,"DEM"
47.049999,47.830002,46.32,47.27,54700,30.584429,2007-08-09,"DEM"
46.130001,47.02,45.790001,46.84,48300,30.306208,2007-08-10,"DEM"
47.43,47.619999,46.889999,47.02,91700,30.422674,2007-08-13,"DEM"
47.240002,48.990002,45.93,45.93,36600,29.717422,2007-08-14,"DEM"
45,46.07,44.07,44.07,41700,28.513983,2007-08-15,"DEM"
42,43.75,40.91,43.75,50600,28.306929,2007-08-16,"DEM"
45,46.41,44,45.200001,34300,29.245106,2007-08-17,"DEM"
45.700001,45.700001,44.450001,45.369999,76000,29.355095,2007-08-20,"DEM"
45,45.619999,45,45.299999,29500,29.309801,2007-08-21,"DEM"
45.810001,46.650002,45.810001,46.650002,24200,30.183271,2007-08-22,"DEM"
46.720001,47.009998,46.200001,46.639999,21800,30.176813,2007-08-23,"DEM"
46.799999,47.950001,46.740002,47.779999,30200,30.914406,2007-08-24,"DEM"
47.349998,47.560001,46.860001,47.349998,19600,30.636187,2007-08-27,"DEM"
46.959999,46.959999,45.5,45.68,19700,29.555674,2007-08-28,"DEM"
46.950001,47.91,46.580002,47.900002,27500,30.992054,2007-08-29,"DEM"
46.900002,47.82,46.900002,47.330002,15900,30.62326,2007-08-30,"DEM"
48.799999,49.110001,48.41,48.91,46700,31.645536,2007-08-31,"DEM"
49.400002,49.880001,49.220001,49.68,15300,32.143738,2007-09-04,"DEM"
48.419998,48.580002,48.189999,48.450001,14300,31.347897,2007-09-05,"DEM"
48.880001,49.09,48.59,49.02,16600,31.716702,2007-09-06,"DEM"
48.560001,48.610001,47.75,47.990002,30500,31.050278,2007-09-07,"DEM"
48.400002,48.400002,47.279999,47.950001,38300,31.024405,2007-09-10,"DEM"
48.66,49,48.540001,49,25800,31.703762,2007-09-11,"DEM"
48.619999,49.200001,48.5,49.060001,15500,31.742579,2007-09-12,"DEM"
49.27,49.549999,49.189999,49.439999,36900,31.988447,2007-09-13,"DEM"
48.959999,49.419998,48.950001,49.389999,27000,31.956104,2007-09-14,"DEM"
49,49.02,48.470001,48.650002,31600,31.47732,2007-09-17,"DEM"
49.080002,50.900002,48.860001,50.669998,43500,32.784283,2007-09-18,"DEM"
50.639999,50.970001,50.310001,50.389999,46500,32.603111,2007-09-19,"DEM"
50.849998,51,50.080002,50.299999,36800,32.54488,2007-09-20,"DEM"
51.25,51.389999,51,51.310001,26900,33.198368,2007-09-21,"DEM"
51.900002,52,51.5,51.75,25400,33.483051,2007-09-24,"DEM"
51.389999,51.759998,51.34,51.759998,20400,33.489536,2007-09-25,"DEM"
52.080002,52.220001,51.830002,52,23600,33.644806,2007-09-26,"DEM"
52.549999,52.880001,52.27,52.779999,32400,34.149479,2007-09-27,"DEM"
52.849998,52.849998,52.189999,52.380001,35400,33.890675,2007-09-28,"DEM"
52.990002,53.959999,52.900002,53.91,27800,34.880619,2007-10-01,"DEM"
53.98,54.060001,53.459999,53.790001,64200,34.802967,2007-10-02,"DEM"
53.549999,53.740002,52.900002,52.900002,127000,34.227119,2007-10-03,"DEM"
53.450001,53.599998,53.009998,53.580002,25000,34.667099,2007-10-04,"DEM"
54.25,55.330002,54.169998,55.02,66900,35.598793,2007-10-05,"DEM"
54.75,54.75,54.240002,54.549999,40100,35.294704,2007-10-08,"DEM"
54.860001,55.139999,54.66,55.119999,39200,35.663498,2007-10-09,"DEM"
55.150002,55.240002,54.73,55.240002,28500,35.741146,2007-10-10,"DEM"
55.849998,55.849998,54.169998,54.799999,83800,35.456451,2007-10-11,"DEM"
55,55.470001,54.869999,55.470001,22600,35.889961,2007-10-12,"DEM"
55.650002,55.650002,54.330002,54.790001,40000,35.449986,2007-10-15,"DEM"
54.799999,54.799999,53.959999,54.060001,45000,34.977665,2007-10-16,"DEM"
55.25,55.529999,54.509998,55.34,23900,35.805847,2007-10-17,"DEM"
54.950001,55.580002,54.66,55.540001,26300,35.935238,2007-10-18,"DEM"
55.259998,55.400002,53.349998,53.450001,34600,34.582985,2007-10-19,"DEM"
52.790001,53.959999,52.450001,53.950001,36600,34.906498,2007-10-22,"DEM"
54.860001,55.009998,54.110001,55.009998,40000,35.592323,2007-10-23,"DEM"
53.82,54.84,53.459999,54.84,22700,35.482338,2007-10-24,"DEM"
55.200001,55.5,54.549999,55.32,22500,35.792908,2007-10-25,"DEM"
56.450001,56.93,55.889999,56.869999,45300,36.795776,2007-10-26,"DEM"
57.299999,57.529999,57.18,57.310001,25300,37.080463,2007-10-29,"DEM"
57.080002,57.080002,56.580002,56.59,39600,36.614616,2007-10-30,"DEM"
56.75,57.73,56.75,57.650002,35900,37.300446,2007-10-31,"DEM"
56.599998,56.66,55.650002,55.669998,114100,36.019356,2007-11-01,"DEM"
56,56.09,55.25,56.009998,118400,36.239334,2007-11-02,"DEM"
54.889999,55.220001,54.459999,54.900002,105600,35.521156,2007-11-05,"DEM"
55.43,56.200001,55.279999,56.130001,56000,36.316978,2007-11-06,"DEM"
55.740002,55.880001,54.240002,54.310001,79700,35.139427,2007-11-07,"DEM"
55,55.439999,53.799999,54.700001,71900,35.391747,2007-11-08,"DEM"
54.889999,55.110001,54.130001,54.560001,50900,35.30117,2007-11-09,"DEM"
54.029999,54.369999,52.049999,52.049999,87500,33.677155,2007-11-12,"DEM"
53.990002,55.290001,53.91,55.189999,25400,35.708797,2007-11-13,"DEM"
55.669998,56,54.43,54.470001,87300,35.24295,2007-11-14,"DEM"
54.349998,54.52,53.099998,53.34,69100,34.511806,2007-11-15,"DEM"
53.700001,54.16,53.259998,54.07,19600,34.984131,2007-11-16,"DEM"
53,53.380001,51.799999,52.029999,41500,33.664215,2007-11-19,"DEM"
52.709999,53.529999,52.16,53.049999,46200,34.324181,2007-11-20,"DEM"
51.869999,51.869999,50.790001,50.939999,101100,32.958965,2007-11-21,"DEM"
53.689999,53.689999,50.849998,52.439999,57200,33.929504,2007-11-23,"DEM"
