open,high,low,close,volume,adjusted+AF8-close,date,ticker
161.300003,161.800003,160,161.300003,261100,144.26709,2007+AC0-12+AC0-31,2828.HK
160.100006,161.600006,157.899994,160,708440,143.10437,2008+AC0-01+AC0-02,2828.HK
157,157.5,154.600006,154.899994,761989,138.542908,2008+AC0-01+AC0-03,2828.HK
158,158.800003,155.100006,158.699997,500152,141.941666,2008+AC0-01+AC0-04,2828.HK
155.199997,156.199997,153.699997,156.199997,473831,139.705643,2008+AC0-01+AC0-07,2828.HK
155,160,155,156.600006,390310,140.063416,2008+AC0-01+AC0-08,2828.HK
155,162,154.300003,162,729380,144.893188,2008+AC0-01+AC0-09,2828.HK
160,163.5,159.800003,161,873087,143.998749,2008+AC0-01+AC0-10,2828.HK
162,163.5,157.600006,158.5,558825,141.762802,2008+AC0-01+AC0-11,2828.HK
158.100006,160.300003,155,155,1169795,138.63237,2008+AC0-01+AC0-14,2828.HK
155.899994,156.800003,149.699997,150.5,2302571,134.60759,2008+AC0-01+AC0-15,2828.HK
144.800003,146.100006,139.600006,141.100006,2353371,126.20018,2008+AC0-01+AC0-16,2828.HK
140,147.399994,137.600006,145.800003,1954210,130.40387,2008+AC0-01+AC0-17,2828.HK
140.5,147.399994,139.5,146.300003,1334121,130.851089,2008+AC0-01+AC0-18,2828.HK
136.300003,143.399994,135.5,136.300003,3077788,121.907028,2008+AC0-01+AC0-21,2828.HK
128,129.800003,118,119,3696190,106.433876,2008+AC0-01+AC0-22,2828.HK
133.199997,139.300003,122.900002,133.199997,2956905,119.134399,2008+AC0-01+AC0-23,2828.HK
133.199997,140.5,129.399994,129.800003,3876829,116.09343,2008+AC0-01+AC0-24,2828.HK
141.5,142.399994,137,141.5,4164429,126.557938,2008+AC0-01+AC0-25,2828.HK
133,139.600006,130.300003,133,1912880,118.955513,2008+AC0-01+AC0-28,2828.HK
137,137.899994,133.300003,134.100006,1233150,119.939384,2008+AC0-01+AC0-29,2828.HK
134,136.5,126.699997,126.900002,1563140,113.499664,2008+AC0-01+AC0-30,2828.HK
126,128.300003,122,124.199997,2036175,111.08477,2008+AC0-01+AC0-31,2828.HK
127,134,125.400002,133.199997,1313630,119.134399,2008+AC0-02+AC0-01,2828.HK
