"open","high","low","close","volume","adjusted_close","date","ticker"
619.5,622,618,619.98999,2252,608.416992,2008-01-01,"NIFTYBEES.NS"
622,625,609.5,622.940002,16159,611.311951,2008-01-02,"NIFTYBEES.NS"
625,627,616,621.309998,9760,609.712341,2008-01-03,"NIFTYBEES.NS"
627,637.450012,620.099976,633.450012,7117,621.625732,2008-01-04,"NIFTYBEES.NS"
625.099976,633.5,625,633,10419,621.184143,2008-01-07,"NIFTYBEES.NS"
638,638,626.150024,632.609985,6501,620.801392,2008-01-08,"NIFTYBEES.NS"
632,640,630.01001,635.570007,5847,623.706177,2008-01-09,"NIFTYBEES.NS"
607,760,565.25,607,30384,595.669495,2008-01-10,"NIFTYBEES.NS"
623,624.5,616,618.869995,120137,607.317871,2008-01-11,"NIFTYBEES.NS"
625,627,621,626.700012,9939,615.00177,2008-01-14,"NIFTYBEES.NS"
625,625,601.25,607.789978,8829,596.444702,2008-01-15,"NIFTYBEES.NS"
609.98999,610,596.099976,605.799988,10240,594.491882,2008-01-16,"NIFTYBEES.NS"
603,615,597,603.5,6492,592.234802,2008-01-17,"NIFTYBEES.NS"
586,609,585,591.150024,13859,580.115356,2008-01-18,"NIFTYBEES.NS"
586,602,520,535.390015,102252,525.396179,2008-01-21,"NIFTYBEES.NS"
525,575,456,495.600006,214026,486.348907,2008-01-22,"NIFTYBEES.NS"
525,589,503,521.710022,69501,511.971558,2008-01-23,"NIFTYBEES.NS"
534,540.5,505,509.440002,19237,499.930573,2008-01-24,"NIFTYBEES.NS"
523,545,523,540.77002,26942,530.675781,2008-01-25,"NIFTYBEES.NS"
539,540,514,528.919983,20533,519.046936,2008-01-28,"NIFTYBEES.NS"
538,539.950012,526,529.960022,21101,520.067566,2008-01-29,"NIFTYBEES.NS"
531.98999,532,523,523.469971,10823,513.698669,2008-01-30,"NIFTYBEES.NS"
521.099976,531,516,520.809998,7691,511.088318,2008-01-31,"NIFTYBEES.NS"
532,537.900024,517,535.969971,10071,525.965332,2008-02-01,"NIFTYBEES.NS"
548,560,548,552.789978,13264,542.471375,2008-02-04,"NIFTYBEES.NS"
550,557,550,554.27002,4612,543.923767,2008-02-05,"NIFTYBEES.NS"
521,547.099976,521,537.909973,10507,527.86908,2008-02-06,"NIFTYBEES.NS"
538,539.98999,518,520.450012,13468,510.735046,2008-02-07,"NIFTYBEES.NS"
529,550,511,521.01001,20134,511.284607,2008-02-08,"NIFTYBEES.NS"
508,521,486.25,494.730011,25864,485.495148,2008-02-11,"NIFTYBEES.NS"
500,502,490,491.209991,17284,482.040833,2008-02-12,"NIFTYBEES.NS"
499,503,493.149994,498.910004,4914,489.597137,2008-02-13,"NIFTYBEES.NS"
515,526,514,524.409973,23650,514.621094,2008-02-14,"NIFTYBEES.NS"
519,534,519,533.97998,6540,524.012451,2008-02-15,"NIFTYBEES.NS"
538,538.75,527,534.150024,10531,524.179321,2008-02-18,"NIFTYBEES.NS"
541,542.950012,534,534.789978,7500,524.807373,2008-02-19,"NIFTYBEES.NS"
530,540,522,526.030029,18304,516.210938,2008-02-20,"NIFTYBEES.NS"
527.25,532,518.5,524.859985,13034,515.062744,2008-02-21,"NIFTYBEES.NS"
521.950012,522,520,521.219971,6304,511.490631,2008-02-22,"NIFTYBEES.NS"
523,525,516,524.210022,7041,514.424866,2008-02-25,"NIFTYBEES.NS"
432,533,432,531.559998,5546,521.637634,2008-02-26,"NIFTYBEES.NS"
536,542.900024,529,530.849976,15125,520.940918,2008-02-27,"NIFTYBEES.NS"
533.5,533.5,527.02002,530.01001,6864,520.116577,2008-02-28,"NIFTYBEES.NS"
530,532.97998,516.049988,523.299988,19459,513.53186,2008-02-29,"NIFTYBEES.NS"
501,519.950012,490,507,23573,497.536102,2008-03-03,"NIFTYBEES.NS"
508,510.950012,486,496.559998,45893,487.290985,2008-03-04,"NIFTYBEES.NS"
497,515.98999,495.799988,505.170013,14768,495.740295,2008-03-05,"NIFTYBEES.NS"
490.01001,497.850006,475,483.929993,49016,474.896729,2008-03-07,"NIFTYBEES.NS"
481.549988,549,471,482.820007,25051,473.807465,2008-03-10,"NIFTYBEES.NS"
485.880005,495.950012,485,492.820007,14050,483.620819,2008-03-11,"NIFTYBEES.NS"
502.649994,509,494,494.25,9255,485.024109,2008-03-12,"NIFTYBEES.NS"
482,483,470,470.950012,16341,462.159058,2008-03-13,"NIFTYBEES.NS"
470.299988,485,470,478.579987,15059,469.646606,2008-03-14,"NIFTYBEES.NS"
465,469,454,458.619995,29181,450.059204,2008-03-17,"NIFTYBEES.NS"
461,474,457,461.51001,11039,452.895264,2008-03-18,"NIFTYBEES.NS"
471,481,462.100006,463.220001,10570,454.573334,2008-03-19,"NIFTYBEES.NS"
461,472,454.950012,463.279999,53208,454.632202,2008-03-24,"NIFTYBEES.NS"
473,493,473,490.170013,22368,481.020294,2008-03-25,"NIFTYBEES.NS"
492,494,486.049988,489.149994,11389,480.019287,2008-03-26,"NIFTYBEES.NS"
487,491.700012,483,488.269989,12207,479.155731,2008-03-27,"NIFTYBEES.NS"
489,502.5,488,499.75,31694,490.421448,2008-03-28,"NIFTYBEES.NS"
499,499,479,482.390015,25548,473.385498,2008-03-31,"NIFTYBEES.NS"
499,499,470,480.070007,25224,471.108795,2008-04-01,"NIFTYBEES.NS"
494.950012,496,481.049988,482.940002,11566,473.925232,2008-04-02,"NIFTYBEES.NS"
