+ACI-open+ACI-,+ACI-high+ACI-,+ACI-low+ACI-,+ACI-close+ACI-,+ACI-volume+ACI-,+ACI-adjusted+AF8-close+ACI-,+ACI-date+ACI-,+ACI-ticker+ACI-
25.25,25.25,25.25,25.25,200,22.419888,2015+AC0-05+AC0-19,+ACI-SCIX+ACI-
25.25,25.25,25.25,25.25,0,22.419888,2015+AC0-05+AC0-20,+ACI-SCIX+ACI-
25.17,25.17,25.17,25.17,400,22.348854,2015+AC0-05+AC0-21,+ACI-SCIX+ACI-
25.17,25.17,25.17,25.17,0,22.348854,2015+AC0-05+AC0-22,+ACI-SCIX+ACI-
25.17,25.17,25.17,25.17,0,22.348854,2015+AC0-05+AC0-26,+ACI-SCIX+ACI-
25.17,25.17,25.17,25.17,0,22.348854,2015+AC0-05+AC0-27,+ACI-SCIX+ACI-
25.17,25.17,25.17,25.17,0,22.348854,2015+AC0-05+AC0-28,+ACI-SCIX+ACI-
24.440001,24.440001,24.440001,24.440001,600,21.700676,2015+AC0-05+AC0-29,+ACI-SCIX+ACI-
24.569,24.569,24.569,24.569,400,21.815216,2015+AC0-06+AC0-01,+ACI-SCIX+ACI-
24.43,24.43,24.43,24.43,300,21.691797,2015+AC0-06+AC0-02,+ACI-SCIX+ACI-
24.33,24.389999,24.25,24.25,500,21.531973,2015+AC0-06+AC0-03,+ACI-SCIX+ACI-
24.25,24.25,24.25,24.25,0,21.531973,2015+AC0-06+AC0-04,+ACI-SCIX+ACI-
24.25,24.25,24.25,24.25,0,21.531973,2015+AC0-06+AC0-05,+ACI-SCIX+ACI-
24.25,24.25,24.25,24.25,0,21.531973,2015+AC0-06+AC0-08,+ACI-SCIX+ACI-
24.25,24.25,24.25,24.25,0,21.531973,2015+AC0-06+AC0-09,+ACI-SCIX+ACI-
24.25,24.25,24.25,24.25,0,21.531973,2015+AC0-06+AC0-10,+ACI-SCIX+ACI-
24.25,24.25,24.25,24.25,0,21.531973,2015+AC0-06+AC0-11,+ACI-SCIX+ACI-
23.921,23.969999,23.921,23.969999,700,21.283354,2015+AC0-06+AC0-12,+ACI-SCIX+ACI-
23.969999,23.969999,23.969999,23.969999,0,21.283354,2015+AC0-06+AC0-15,+ACI-SCIX+ACI-
23.969999,23.969999,23.969999,23.969999,0,21.283354,2015+AC0-06+AC0-16,+ACI-SCIX+ACI-
23.969999,23.969999,23.969999,23.969999,0,21.283354,2015+AC0-06+AC0-17,+ACI-SCIX+ACI-
24.049999,24.049999,24.01,24.01,600,21.318871,2015+AC0-06+AC0-18,+ACI-SCIX+ACI-
24.01,24.01,24.01,24.01,0,21.318871,2015+AC0-06+AC0-19,+ACI-SCIX+ACI-
23.93,23.93,23.93,23.93,100,21.247837,2015+AC0-06+AC0-22,+ACI-SCIX+ACI-
23.93,23.93,23.93,23.93,0,21.247837,2015+AC0-06+AC0-23,+ACI-SCIX+ACI-
23.93,23.93,23.93,23.93,0,21.247837,2015+AC0-06+AC0-24,+ACI-SCIX+ACI-
23.93,23.93,23.93,23.93,0,21.247837,2015+AC0-06+AC0-25,+ACI-SCIX+ACI-
23.77,23.77,23.77,23.77,300,21.105772,2015+AC0-06+AC0-26,+ACI-SCIX+ACI-
23.77,23.77,23.77,23.77,0,21.105772,2015+AC0-06+AC0-29,+ACI-SCIX+ACI-
23.77,23.77,23.77,23.77,0,21.105772,2015+AC0-06+AC0-30,+ACI-SCIX+ACI-
23.77,23.77,23.77,23.77,0,21.105772,2015+AC0-07+AC0-01,+ACI-SCIX+ACI-
23.77,23.77,23.77,23.77,0,21.105772,2015+AC0-07+AC0-02,+ACI-SCIX+ACI-
23.190001,23.190001,23.190001,23.190001,0,20.590782,2015+AC0-07+AC0-06,+ACI-SCIX+ACI-
23.190001,23.190001,23.190001,23.190001,0,20.590782,2015+AC0-07+AC0-07,+ACI-SCIX+ACI-
23.190001,23.190001,23.190001,23.190001,0,20.590782,2015+AC0-07+AC0-08,+ACI-SCIX+ACI-
23.190001,23.190001,23.190001,23.190001,0,20.590782,2015+AC0-07+AC0-09,+ACI-SCIX+ACI-
23.190001,23.190001,23.190001,23.190001,0,20.590782,2015+AC0-07+AC0-10,+ACI-SCIX+ACI-
23.190001,23.190001,23.190001,23.190001,0,20.590782,2015+AC0-07+AC0-13,+ACI-SCIX+ACI-
23.190001,23.190001,23.190001,23.190001,0,20.590782,2015+AC0-07+AC0-14,+ACI-SCIX+ACI-
23.190001,23.190001,23.190001,23.190001,0,20.590782,2015+AC0-07+AC0-15,+ACI-SCIX+ACI-
23.190001,23.190001,23.190001,23.190001,0,20.590782,2015+AC0-07+AC0-16,+ACI-SCIX+ACI-
23.190001,23.190001,23.190001,23.190001,0,20.590782,2015+AC0-07+AC0-17,+ACI-SCIX+ACI-
23.190001,23.190001,23.190001,23.190001,0,20.590782,2015+AC0-07+AC0-20,+ACI-SCIX+ACI-
23.190001,23.190001,23.190001,23.190001,0,20.590782,2015+AC0-07+AC0-21,+ACI-SCIX+ACI-
23.190001,23.190001,23.190001,23.190001,0,20.590782,2015+AC0-07+AC0-22,+ACI-SCIX+ACI-
22.690001,22.690001,22.690001,22.690001,500,20.146822,2015+AC0-07+AC0-23,+ACI-SCIX+ACI-
22.690001,22.690001,22.690001,22.690001,0,20.146822,2015+AC0-07+AC0-24,+ACI-SCIX+ACI-
22.42,22.42,22.42,22.42,200,19.907084,2015+AC0-07+AC0-27,+ACI-SCIX+ACI-
22.42,22.42,22.42,22.42,0,19.907084,2015+AC0-07+AC0-28,+ACI-SCIX+ACI-
22.42,22.42,22.42,22.42,0,19.907084,2015+AC0-07+AC0-29,+ACI-SCIX+ACI-
22.42,22.42,22.42,22.42,0,19.907084,2015+AC0-07+AC0-30,+ACI-SCIX+ACI-
22.42,22.42,22.42,22.42,0,19.907084,2015+AC0-07+AC0-31,+ACI-SCIX+ACI-
22.42,22.42,22.42,22.42,0,19.907084,2015+AC0-08+AC0-03,+ACI-SCIX+ACI-
22.42,22.42,22.42,22.42,0,19.907084,2015+AC0-08+AC0-04,+ACI-SCIX+ACI-
