"open","high","low","close","volume","adjusted_close","date","ticker"
60,60.25,60,60.25,16300,46.123302,1996-03-18,"EWJ"
60,60,60,60,2500,45.931904,1996-03-19,"EWJ"
60,60,60,60,4300,45.931904,1996-03-20,"EWJ"
60.5,61.5,60.5,61.5,18300,47.080208,1996-03-21,"EWJ"
61,61.5,61,61.25,19800,46.888836,1996-03-22,"EWJ"
62,62,61.25,61.75,65200,47.271587,1996-03-25,"EWJ"
61.75,62,61.5,61.75,94000,47.271587,1996-03-26,"EWJ"
62.25,62.5,62,62.25,24000,47.654346,1996-03-27,"EWJ"
62,62.5,62,62.25,102500,47.654346,1996-03-28,"EWJ"
62.5,63,62.5,62.75,254500,48.037125,1996-03-29,"EWJ"
63,63,62.75,62.75,80800,48.037125,1996-04-01,"EWJ"
63,63.25,63,63.25,6100,48.419891,1996-04-02,"EWJ"
63,63,62.5,62.75,25700,48.037125,1996-04-03,"EWJ"
62.75,63,62.75,63,25400,48.228516,1996-04-04,"EWJ"
62.5,62.5,62,62,15500,47.462982,1996-04-08,"EWJ"
62.75,63,62.5,63,276600,48.228516,1996-04-09,"EWJ"
62.75,63,62.5,62.5,71300,47.845737,1996-04-10,"EWJ"
62.5,62.75,62.5,62.5,1300,47.845737,1996-04-11,"EWJ"
62.5,62.75,62.5,62.75,400,48.037125,1996-04-12,"EWJ"
62.75,63,62.75,63,131200,48.228516,1996-04-15,"EWJ"
62.75,63.25,62.75,63,60900,48.228516,1996-04-16,"EWJ"
62.75,62.75,62.5,62.75,18300,48.037125,1996-04-17,"EWJ"
63,63.25,62.75,63,21300,48.228516,1996-04-18,"EWJ"
63.5,64,63.5,63.75,9700,48.802654,1996-04-19,"EWJ"
64.5,65.75,64.5,65.75,35500,50.333721,1996-04-22,"EWJ"
65,65.25,65,65.25,11900,49.950962,1996-04-23,"EWJ"
65.25,66,65.25,66,260600,50.525101,1996-04-24,"EWJ"
65.5,66,65.5,65.75,6500,50.333721,1996-04-25,"EWJ"
66.25,66.25,65.5,66,7600,50.525101,1996-04-26,"EWJ"
66,66.25,65.5,65.5,10700,50.142338,1996-04-29,"EWJ"
65.75,65.75,65.5,65.75,10400,50.333721,1996-04-30,"EWJ"
65,65.75,65,65.75,7100,50.333721,1996-05-01,"EWJ"
64.5,65.25,64.5,65,15300,49.759567,1996-05-02,"EWJ"
65,65,64.75,65,13400,49.759567,1996-05-03,"EWJ"
65,65.25,64.5,64.75,44500,49.568207,1996-05-06,"EWJ"
64.5,64.75,64.25,64.75,51000,49.568207,1996-05-07,"EWJ"
65,65,64,65,5100,49.759567,1996-05-08,"EWJ"
64.5,64.75,64.5,64.75,19200,49.568207,1996-05-09,"EWJ"
64.5,64.5,64,64.25,4000,49.185421,1996-05-10,"EWJ"
63.5,63.5,63,63.25,5100,48.419891,1996-05-13,"EWJ"
63.75,63.75,63.5,63.75,13400,48.802654,1996-05-14,"EWJ"
64.5,64.5,64,64.25,134700,49.185421,1996-05-15,"EWJ"
64.5,64.5,64,64.5,2300,49.376816,1996-05-16,"EWJ"
64,64.25,63.75,64,5600,48.994045,1996-05-17,"EWJ"
64,64,63.75,63.75,1800,48.802654,1996-05-20,"EWJ"
63.5,63.5,63.5,63.5,9900,48.611282,1996-05-21,"EWJ"
63.5,63.5,63.25,63.25,600,48.419891,1996-05-22,"EWJ"
63,63,62.5,62.75,7300,48.037125,1996-05-23,"EWJ"
62.5,62.5,62.5,62.5,4000,47.845737,1996-05-24,"EWJ"
62,62.5,62,62.5,11900,47.845737,1996-05-28,"EWJ"
62.25,62.5,62.25,62.5,27800,47.845737,1996-05-29,"EWJ"
63,63,62.25,62.75,4800,48.037125,1996-05-30,"EWJ"
62.25,62.75,62.25,62.75,1800,48.037125,1996-05-31,"EWJ"
62.25,62.25,61.75,61.75,2600,47.271587,1996-06-03,"EWJ"
61.75,62.25,61.75,62.25,1000,47.654346,1996-06-04,"EWJ"
62.25,62.25,61.75,62,8800,47.462982,1996-06-05,"EWJ"
62,62,62,62,2100,47.462982,1996-06-06,"EWJ"
61,61.5,61,61.5,9800,47.080208,1996-06-07,"EWJ"
61.5,61.5,61,61.5,14700,47.080208,1996-06-10,"EWJ"
61.75,61.75,61.75,61.75,200,47.271587,1996-06-11,"EWJ"
62,62.5,62,62.5,20500,47.845737,1996-06-12,"EWJ"
62.5,62.75,62,62.75,26700,48.037125,1996-06-13,"EWJ"
62.75,63.25,62.75,63,79200,48.228516,1996-06-14,"EWJ"
63,63,62.5,62.75,14500,48.037125,1996-06-17,"EWJ"
63.25,63.5,63.25,63.5,29600,48.611282,1996-06-18,"EWJ"
63.5,63.75,63.25,63.75,8500,48.802654,1996-06-19,"EWJ"
63.75,64,63.5,64,2500,48.994045,1996-06-20,"EWJ"
63.5,64.5,63.5,64.5,36200,49.376816,1996-06-21,"EWJ"
64.75,64.75,63.5,63.5,131300,48.611282,1996-06-24,"EWJ"
63.75,64,63.25,63.25,20200,48.419891,1996-06-25,"EWJ"
63.75,63.75,63.5,63.5,5000,48.611282,1996-06-26,"EWJ"
63.5,63.5,63.5,63.5,2300,48.611282,1996-06-27,"EWJ"
63.5,63.5,63.5,63.5,700,48.611282,1996-06-28,"EWJ"
63,63.25,63,63.25,2200,48.419891,1996-07-01,"EWJ"
62.5,62.75,62,62.5,4700,47.845737,1996-07-02,"EWJ"
62.5,62.5,62.5,62.5,200,47.845737,1996-07-03,"EWJ"
62,62,61.25,61.25,900,46.888836,1996-07-05,"EWJ"
61,61.25,60.5,60.75,5400,46.506058,1996-07-08,"EWJ"
60.75,61,60.5,61,37700,46.697453,1996-07-09,"EWJ"
60.75,60.75,60.25,60.75,31300,46.506058,1996-07-10,"EWJ"
60.5,60.75,60,60,32000,45.931904,1996-07-11,"EWJ"
60,60.25,60,60.25,4700,46.123302,1996-07-12,"EWJ"
60,60,59.5,59.75,9900,45.740528,1996-07-15,"EWJ"
59.25,60.25,59.25,60,17300,45.931904,1996-07-16,"EWJ"
60.5,60.5,60.25,60.25,1100,46.123302,1996-07-17,"EWJ"
60.75,61.5,60.75,61.25,20400,46.888836,1996-07-18,"EWJ"
61,61,60.25,60.5,800,46.314682,1996-07-19,"EWJ"
60,60,59.25,59.75,3800,45.740528,1996-07-22,"EWJ"
60,60.5,59.75,60.25,2600,46.123302,1996-07-23,"EWJ"
59.25,59.25,58,58.5,69700,44.783619,1996-07-24,"EWJ"
59,59.25,58.75,59.25,5000,45.357765,1996-07-25,"EWJ"
59.5,59.75,59.5,59.75,200,45.740528,1996-07-26,"EWJ"
59.5,59.75,59.25,59.25,2300,45.357765,1996-07-29,"EWJ"
59.5,59.75,59.5,59.75,4300,45.740528,1996-07-30,"EWJ"
60,60.5,60,60.5,26600,46.314682,1996-07-31,"EWJ"
60.5,60.75,60.25,60.5,46300,46.314682,1996-08-01,"EWJ"
60.5,60.5,60,60.5,13700,46.314682,1996-08-02,"EWJ"
60.5,60.75,60.5,60.75,53200,46.506058,1996-08-05,"EWJ"
59.5,59.75,59.5,59.75,42400,45.740528,1996-08-06,"EWJ"
58.75,59.25,58.75,59.25,7400,45.357765,1996-08-07,"EWJ"
58.75,59,58.75,59,37900,45.16637,1996-08-08,"EWJ"
58.5,58.75,58.5,58.75,27700,44.974991,1996-08-09,"EWJ"
59,59,58.75,59,1800,45.16637,1996-08-12,"EWJ"
59,59.25,59,59.25,35000,45.357765,1996-08-13,"EWJ"
59.5,59.5,59.5,59.5,3800,45.549145,1996-08-14,"EWJ"
59.5,59.5,59,59.5,1400,45.549145,1996-08-15,"EWJ"
59,59,59,59,500,45.16637,1996-08-16,"EWJ"
59.5,59.5,59.25,59.5,600,45.549145,1996-08-19,"EWJ"
59.5,59.5,59,59,600,45.16637,1996-08-20,"EWJ"
59.5,59.75,59.5,59.75,3200,45.740528,1996-08-21,"EWJ"
60,60,60,60,300,45.931904,1996-08-22,"EWJ"
59.75,59.75,59.5,59.75,5200,45.740528,1996-08-23,"EWJ"
59,59.5,59,59.25,2000,45.357765,1996-08-26,"EWJ"
59,59.25,58.75,58.75,2300,44.974991,1996-08-27,"EWJ"
58.25,58.5,58.25,58.5,400,44.783619,1996-08-28,"EWJ"
58.25,58.25,57.5,58,10000,44.400856,1996-08-29,"EWJ"
57.5,57.75,57.25,57.25,35700,43.826694,1996-08-30,"EWJ"
56.5,57,56,56.5,12000,43.252563,1996-09-03,"EWJ"
56.75,57,56.5,57,2800,43.635319,1996-09-04,"EWJ"
57.25,57.25,57,57.25,17500,43.826694,1996-09-05,"EWJ"
57.5,57.5,57,57.25,2100,43.826694,1996-09-06,"EWJ"
57.25,57.25,57.25,57.25,700,43.826694,1996-09-09,"EWJ"
57.5,58,57,57.5,8700,44.018089,1996-09-10,"EWJ"
57,57.25,57,57.25,1800,43.826694,1996-09-11,"EWJ"
57.5,57.5,57,57.25,1500,43.826694,1996-09-12,"EWJ"
57.75,58,57.5,57.75,1100,44.209473,1996-09-13,"EWJ"
57.5,58.25,57.5,58.25,14200,44.592224,1996-09-16,"EWJ"
59,60,59,59,9600,45.16637,1996-09-17,"EWJ"
59,59,58.5,58.5,61700,44.783619,1996-09-18,"EWJ"
59,59.25,59,59,3900,45.16637,1996-09-19,"EWJ"
58.75,58.75,58.5,58.5,400,44.783619,1996-09-20,"EWJ"
58.25,58.25,58,58,3300,44.400856,1996-09-23,"EWJ"
58,58.75,58,58.75,3600,44.974991,1996-09-24,"EWJ"
58.75,59.25,58.75,59,4200,45.16637,1996-09-25,"EWJ"
59,59.5,58.75,59,6200,45.16637,1996-09-26,"EWJ"
59.5,59.5,59,59.5,12100,45.549145,1996-09-27,"EWJ"
59,59.25,58.75,59.25,4800,45.357765,1996-09-30,"EWJ"
58.75,59.25,58.75,59.25,9600,45.357765,1996-10-01,"EWJ"
59,59,58.5,58.75,11200,44.974991,1996-10-02,"EWJ"
58.75,58.75,58.5,58.5,1900,44.783619,1996-10-03,"EWJ"
58,58.25,58,58.25,9200,44.592224,1996-10-04,"EWJ"
58,58.25,57.75,58,19900,44.400856,1996-10-07,"EWJ"
57.25,57.25,57,57,13600,43.635319,1996-10-08,"EWJ"
57.25,57.25,56.75,56.75,14100,43.443943,1996-10-09,"EWJ"
56.75,57.5,56.75,57.25,26400,43.826694,1996-10-10,"EWJ"
57.25,57.5,57.25,57.5,400,44.018089,1996-10-11,"EWJ"
56.75,57.75,56.75,57.5,4300,44.018089,1996-10-14,"EWJ"
58.5,58.5,58.25,58.5,20300,44.783619,1996-10-15,"EWJ"
58.5,58.5,57.75,58.25,9900,44.592224,1996-10-16,"EWJ"
58.25,58.5,58,58.5,12400,44.783619,1996-10-17,"EWJ"
59,59,58.5,59,6200,45.16637,1996-10-18,"EWJ"
57.75,57.75,56.75,56.75,26500,43.443943,1996-10-21,"EWJ"
57,57.25,56.5,57,26100,43.635319,1996-10-22,"EWJ"
57,57,56.5,56.5,11000,43.252563,1996-10-23,"EWJ"
56.5,57,56.5,57,2500,43.635319,1996-10-24,"EWJ"
56.5,56.5,56,56.25,1400,43.061161,1996-10-25,"EWJ"
56,56,55.5,56,3200,42.869781,1996-10-28,"EWJ"
56,56,55.5,55.75,12400,42.678402,1996-10-29,"EWJ"
55.25,55.5,55.25,55.5,2500,42.487007,1996-10-30,"EWJ"
55,55.5,55,55.25,2400,42.295639,1996-10-31,"EWJ"
55.25,55.75,55.25,55.75,1500,42.678402,1996-11-01,"EWJ"
55.5,55.75,55.5,55.75,3600,42.678402,1996-11-04,"EWJ"
55.5,55.5,55.25,55.25,10100,42.295639,1996-11-05,"EWJ"
55.75,56.5,55.75,56.5,30800,43.252563,1996-11-06,"EWJ"
56.25,57,56.25,56.5,3100,43.252563,1996-11-07,"EWJ"
57.25,57.5,57.25,57.25,3500,43.826694,1996-11-08,"EWJ"
57,57.5,57,57.25,7600,43.826694,1996-11-11,"EWJ"
57.5,57.5,57.25,57.25,300,43.826694,1996-11-12,"EWJ"
57,57.25,56.75,56.75,1600,43.443943,1996-11-13,"EWJ"
56.75,57.25,56.75,57,27900,43.635319,1996-11-14,"EWJ"
57.5,57.5,57,57.25,23200,43.826694,1996-11-15,"EWJ"
56.5,56.5,56.25,56.5,3200,43.252563,1996-11-18,"EWJ"
57,57,56.5,56.5,19100,43.252563,1996-11-19,"EWJ"
57,57.5,57,57,51900,43.635319,1996-11-20,"EWJ"
57.25,57.25,57,57,12400,43.635319,1996-11-21,"EWJ"
57.75,58,57.25,57.75,23400,44.209473,1996-11-22,"EWJ"
57.75,57.75,57.25,57.75,185400,44.209473,1996-11-25,"EWJ"
57.75,57.75,57.25,57.5,56700,44.018089,1996-11-26,"EWJ"
57.5,57.5,57,57.25,7400,43.826694,1996-11-27,"EWJ"
56.75,56.75,56,56.5,4800,43.252563,1996-11-29,"EWJ"
55.75,55.75,55,55.25,9300,42.295639,1996-12-02,"EWJ"
55,55.5,55,55.25,3200,42.295639,1996-12-03,"EWJ"
55.25,55.5,55,55.5,7700,42.487007,1996-12-04,"EWJ"
56.5,57,56.25,57,6400,43.635319,1996-12-05,"EWJ"
55,55.5,55,55.25,4500,42.295639,1996-12-06,"EWJ"
55.5,55.75,55.25,55.75,11700,42.678402,1996-12-09,"EWJ"
55.75,55.75,55.25,55.5,1900,42.487007,1996-12-10,"EWJ"
55.25,55.25,54,54,46800,41.338715,1996-12-11,"EWJ"
54,54.5,54,54.5,3200,41.721481,1996-12-12,"EWJ"
53.75,54.25,53.75,54.25,1000,41.530106,1996-12-13,"EWJ"
54.75,54.75,53.75,54,5900,41.338715,1996-12-16,"EWJ"
54,54.5,54,54,3500,41.338715,1996-12-17,"EWJ"
53.75,54,53.75,53.75,1200,41.147343,1996-12-18,"EWJ"
53,53,52.5,53,4500,40.573196,1996-12-19,"EWJ"
53.25,53.25,52.75,53.25,8500,40.764568,1996-12-20,"EWJ"
53,53.5,53,53,32700,40.573196,1996-12-23,"EWJ"
51.5,52,51.5,51.75,7400,39.61628,1996-12-24,"EWJ"
52.25,52.5,51.75,52.5,9100,40.19043,1996-12-26,"EWJ"
52,52.5,52,52,63300,39.807655,1996-12-27,"EWJ"
52.5,52.5,52,52.25,79900,39.999043,1996-12-30,"EWJ"
52.25,52.5,52,52.25,19000,39.999043,1996-12-31,"EWJ"
52.25,52.5,52,52.25,1400,39.999043,1997-01-02,"EWJ"
52,52.25,52,52.25,7800,39.999043,1997-01-03,"EWJ"
52.5,53,52.25,53,19400,40.573196,1997-01-06,"EWJ"
52,52,51.75,52,3800,39.807655,1997-01-07,"EWJ"
51,51.5,50.75,51.25,2900,39.233513,1997-01-08,"EWJ"
49.75,49.75,49,49.75,10000,38.085209,1997-01-09,"EWJ"
47.5,48,47,47.5,42700,36.362778,1997-01-10,"EWJ"
48.5,48.5,48,48.5,31300,37.128284,1997-01-13,"EWJ"
48.5,48.75,48.5,48.5,7600,37.128284,1997-01-14,"EWJ"
48.5,48.75,48,48.75,21700,37.319675,1997-01-15,"EWJ"
49,49.25,48.5,49,19300,37.511066,1997-01-16,"EWJ"
48.5,48.75,48.5,48.75,5700,37.319675,1997-01-17,"EWJ"
47.75,48,46.5,47.25,21300,36.171379,1997-01-20,"EWJ"
47.5,48,47.5,48,24500,36.745529,1997-01-21,"EWJ"
48,48.5,48,48,39800,36.745529,1997-01-22,"EWJ"
47.5,47.75,46.75,47,50300,35.979996,1997-01-23,"EWJ"
46.75,47,46.25,46.5,11600,35.597244,1997-01-24,"EWJ"
45.75,45.75,45.25,45.25,44100,34.640308,1997-01-27,"EWJ"
45.75,46.5,45.5,46.5,16000,35.597244,1997-01-28,"EWJ"
46.5,46.5,46,46,17700,35.214478,1997-01-29,"EWJ"
45.75,46,45.5,45.75,12600,35.023094,1997-01-30,"EWJ"
46.75,47,46.5,47,14500,35.979996,1997-01-31,"EWJ"
46.75,47,46.5,47,8300,35.979996,1997-02-03,"EWJ"
46.75,46.75,46.25,46.75,9400,35.788601,1997-02-04,"EWJ"
46,46.5,45.75,46,32400,35.214478,1997-02-05,"EWJ"
45.5,45.5,45,45.5,15300,34.831703,1997-02-06,"EWJ"
45,46,44.5,46,9100,35.214478,1997-02-07,"EWJ"
46.5,46.5,46,46.25,12300,35.405849,1997-02-10,"EWJ"
46,46.25,45.75,46,16100,35.214478,1997-02-11,"EWJ"
46,46.5,46,46.25,68000,35.405849,1997-02-12,"EWJ"
46.5,47,46.5,47,6800,35.979996,1997-02-13,"EWJ"
47.25,47.25,46.25,46.75,169700,35.788601,1997-02-14,"EWJ"
46.75,46.75,46.25,46.5,258500,35.597244,1997-02-18,"EWJ"
46.75,46.75,46.25,46.75,35200,35.788601,1997-02-19,"EWJ"
48,49.25,48,48.25,126800,36.936916,1997-02-20,"EWJ"
49,49,48.25,49,44100,37.511066,1997-02-21,"EWJ"
48.75,49,48.25,48.75,125800,37.319675,1997-02-24,"EWJ"
49,49,48.5,49,176300,37.511066,1997-02-25,"EWJ"
48.5,48.75,47.5,47.5,28300,36.362778,1997-02-26,"EWJ"
48.25,48.75,48.25,48.5,6700,37.128284,1997-02-27,"EWJ"
48.25,48.25,47.5,48,11300,36.745529,1997-02-28,"EWJ"
47.75,47.75,47,47.75,66400,36.554142,1997-03-03,"EWJ"
47.75,47.75,47.5,47.75,8300,36.554142,1997-03-04,"EWJ"
47,47.25,46.5,47.25,24700,36.171379,1997-03-05,"EWJ"
46.5,46.5,46,46.25,12100,35.405849,1997-03-06,"EWJ"
46.25,46.75,46.25,46.5,7300,35.597244,1997-03-07,"EWJ"
46.5,46.5,46,46.5,8000,35.597244,1997-03-10,"EWJ"
47.25,47.25,46.5,47,11200,35.979996,1997-03-11,"EWJ"
46.25,46.25,46,46.25,17500,35.405849,1997-03-12,"EWJ"
45.5,45.75,45,45,11500,34.448936,1997-03-13,"EWJ"
45.25,45.75,45,45.25,7300,34.640308,1997-03-14,"EWJ"
45.5,45.75,45.25,45.5,55000,34.831703,1997-03-17,"EWJ"
46.5,46.75,46.25,46.5,7300,35.597244,1997-03-18,"EWJ"
46.75,47.25,46.5,47,11600,35.979996,1997-03-19,"EWJ"
47.25,47.25,46.5,46.5,8300,35.597244,1997-03-20,"EWJ"
47,47.5,47,47.5,4400,36.362778,1997-03-21,"EWJ"
46.5,46.75,46,46.5,5900,35.597244,1997-03-24,"EWJ"
47.25,47.25,47,47.25,10900,36.171379,1997-03-25,"EWJ"
47,47.5,46.75,47.5,14900,36.362778,1997-03-26,"EWJ"
47,47.5,47,47.5,1400,36.362778,1997-03-27,"EWJ"
46.5,46.5,46,46,13900,35.214478,1997-03-31,"EWJ"
46.5,47,46,47,7400,35.979996,1997-04-01,"EWJ"
47,47.5,47,47,6400,35.979996,1997-04-02,"EWJ"
46.75,47.5,46.75,47.25,7500,36.171379,1997-04-03,"EWJ"
